strategy,symbol,timeframe,n_trades,win_rate,total_return,cagr,sharpe,sortino,max_dd,profit_factor,avg_win,avg_loss,final_capital
MACD,USDJPY,H4,58,43.1,-4.7,-9.21,-0.3767,-0.5773,-14.11,0.91,0.4152,0.3356,9530.0
Parabolic_SAR,XRPUSD,H4,86,40.7,-8.49,-16.22,-0.3772,-0.4332,-22.47,0.89,3.1301,2.1029,9151.36
Bollinger,EURUSD,H4,46,50.0,-5.04,-9.85,-0.3818,-1.1957,-8.14,0.89,0.3765,0.3783,9496.47
Bollinger,XAGUSD,D1,4,50.0,0.34,0.68,-0.3911,-41.9542,-2.01,1.08,9.1269,11.186,10033.78
Parabolic_SAR,XAGUSD,H1,231,42.86,-10.97,-20.9,-0.3941,-0.6625,-37.38,0.94,1.9814,1.846,8903.16
Swing_SR,GBPAUD,D1,2,50.0,-0.76,-1.52,-0.4187,0.0,-2.04,0.63,1.1636,1.4094,9924.08
Stochastic,USDCAD,D1,11,45.45,-2.37,-4.7,-0.4232,-34.4436,-6.03,0.81,0.7292,0.6746,9762.92
MACD,EURUSD,H4,56,41.07,-3.26,-6.43,-0.4336,-0.8355,-14.56,0.94,0.4083,0.2964,9674.03
EMA_Cross,NZDUSD,D1,8,37.5,-2.14,-4.25,-0.4442,-0.8076,-5.35,0.77,1.6864,1.1534,9786.03
Stochastic,EURCHF,H4,50,52.0,-5.31,-10.37,-0.4479,-0.8404,-10.83,0.9,0.2676,0.3099,9468.84
RSI,XRPUSD,D1,3,33.33,-1.56,-3.08,-0.4563,-11.1487,-4.0,0.62,9.3297,11.6475,9844.49
Bollinger,BTCUSD,D1,12,50.0,-1.31,-2.6,-0.4635,-36.9374,-5.69,0.89,6.194,5.0742,9869.12
EMA_Cross,USDJPY,H4,34,38.24,-5.05,-9.87,-0.4736,-0.7316,-14.1,0.85,0.5146,0.3017,9495.16
Parabolic_SAR,CADJPY,D1,11,36.36,-2.68,-5.31,-0.479,-20.9457,-9.89,0.78,1.3757,0.8603,9731.69
RSI,BTCUSD,H4,29,44.83,-5.42,-10.52,-0.4844,-7.9693,-9.75,0.83,2.5347,2.4132,9458.2
MACD,NZDUSD,H4,58,39.66,-7.04,-13.62,-0.4863,-0.6649,-11.23,0.87,0.6821,0.5086,9296.19
